event_id,aircraft_id,ntsb_make,ntsb_model,ntsb_number,year,date,city,state,country,total_fatalities,in_usa,pilot_total,latimes_make,latimes_model,count,latimes_make_and_model
20020326X00396,1,BELL,206 B III,WAS02WA028,2002,03/20/02 00:00:00,ANACO,,VE,1.0,False,1.0,BELL,206,2.0,BELL 206
20041025X01691,1,EUROCOPTER DEUTSCHLAND,BO-105 CBS5,MIA05FA008,2004,10/20/04 00:00:00,SANTA ROSA BCH,FL,USA,3.0,True,1.0,AIRBUS,105,1.0,AIRBUS 105
20010724X01485,1,ROBINSON,R-44,WAS01RA011,2001,07/08/01 00:00:00,LA FORTUNA,,PA,2.0,False,1.0,ROBINSON,R44,22.0,ROBINSON R44
20001208X07947,1,HUGHES,369D,LAX97LA176,1997,05/10/97 00:00:00,PUAKO,HI,USA,2.0,True,1.0,HUGHES,369,36.0,HUGHES 369
20180601X53418,1,ROBINSON HELICOPTER COMPANY,R44 II,WPR18WA160,2018,05/01/18 00:00:00,MABULA,FN,SF,2.0,False,,ROBINSON,R44,22.0,ROBINSON R44
20051011X01612,1,ROBINSON,R-22 BETA,LAX06WA004,2005,10/06/05 00:00:00,NR CALINDARY HO,,AS,2.0,False,1.0,ROBINSON,R22,17.0,ROBINSON R22
20011204X02342,1,BELL,UH-1H,WAS02WA007,2001,11/27/01 00:00:00,EL  LIMON,,ES,9.0,False,2.0,BELL,UH-1,17.0,BELL UH-1
20001211X12937,1,ROBINSON,R44,LAX93FA311,1993,07/31/93 00:00:00,EL MONTE,CA,USA,3.0,True,1.0,ROBINSON,R44,75.0,ROBINSON R44
20001211X11496,1,HILLER,UH-12E,SEA99FA013,1998,11/10/98 00:00:00,MARSHALL,WA,USA,1.0,True,1.0,FAIRCHILD/HILLER,UH-12,10.0,FAIRCHILD/HILLER UH-12
20150629X82450,1,ROBINSON,R44 - II,ERA15WA255,2015,06/27/15 00:00:00,MAKARAKSKIY,,RS,3.0,False,1.0,ROBINSON,R44,6.0,ROBINSON R44
20010820X01734,1,EUROCOPTER,AS350-B2,LAX01MA272,2001,08/10/01 00:00:00,MEADVIEW,AZ,USA,6.0,True,1.0,AIRBUS,350,3.0,AIRBUS 350
20030326X00395,1,SIKORSKY,S-61A,ATL03FA065,2003,03/23/03 00:00:00,KIMBLE,TN,USA,1.0,True,2.0,SIKORSKY,61,2.0,SIKORSKY 61
20070820X01211,1,TERPSTRA,EXEC 162F,CHI07LA273,2007,08/18/07 00:00:00,WINAMAC,IN,USA,1.0,True,1.0,TERPSTRA,162,1.0,TERPSTRA 162
20001211X15555,1,MCDONNELL DOUGLAS,369D,ANC92FA164,1992,09/11/92 00:00:00,EAGLE,AK,USA,3.0,True,1.0,MCDONNELL DOUGLAS,369,7.0,MCDONNELL DOUGLAS 369
20110503X02028,1,ROBINSON,R22,ERA11WA276,2011,04/26/11 00:00:00,SULMONA,,IT,2.0,False,1.0,ROBINSON,R22,45.0,ROBINSON R22
20001214X39833,1,HILLER,UH-12E,CHI84FA226,1984,06/10/84 00:00:00,MERRIMAC,WI,USA,1.0,True,1.0,FAIRCHILD/HILLER,UH-12,10.0,FAIRCHILD/HILLER UH-12
20170517X14413,1,ENSTROM HELICOPTER CORP,480B,ERA17WA183,2017,05/10/17 00:00:00,FUNDRES,FN,IT,1.0,False,1.0,ENSTROM,480,2.0,ENSTROM 480
20121010X41638,1,BELL,206B,CEN13FA009,2012,10/10/12 00:00:00,CROWLEY,LA,USA,1.0,True,1.0,BELL,206,112.0,BELL 206
20170109X54342,1,ROBINSON HELICOPTER,R44 II,ERA17WA081,2016,12/04/16 00:00:00,SAO LOURENCO DA SERRA,FN,BR,4.0,False,,ROBINSON,R44,1.0,ROBINSON R44
20050309X00288,1,MCDONNELL DOUGLAS,MD-902,DCA05RA036,2005,02/10/05 00:00:00,SHANGHAI,,CH,3.0,False,,MCDONNELL DOUGLAS,902,1.0,MCDONNELL DOUGLAS 902
20130222X12624,1,EUROCOPTER,AS 350 B2,CEN13FA174,2013,02/22/13 00:00:00,OKLAHOMA CITY,OK,USA,2.0,True,1.0,AIRBUS,350,8.0,AIRBUS 350
20001211X10053,1,BELL,47G,FTW98FA238,1998,05/24/98 00:00:00,BIXBY,OK,USA,1.0,True,1.0,BELL,47,12.0,BELL 47
20020917X04642,1,BELL,206B,FTW83FA043,1982,11/22/82 00:00:00,BUCCANEER OIL F,GM,,1.0,False,1.0,BELL,206,112.0,BELL 206
20001213X28316,1,MBB,BO-105S,FTW89FA093,1989,05/07/89 00:00:00,W CAMERON BLK,GM,,1.0,False,1.0,MBB,105,4.0,MBB 105
20140127X44720,1,BELL,206L 3,CEN14FA122,2014,01/27/14 00:00:00,SILT,CO,USA,3.0,True,1.0,BELL,206,3.0,BELL 206
20001206X02565,1,SIKORSKY,S-76A,CHI95FA035,1994,11/08/94 00:00:00,CAMERON,LA,USA,1.0,True,1.0,SIKORSKY,76,7.0,SIKORSKY 76
20150220X45640,1,ROBINSON,R44 II,WPR15WA108,2015,02/19/15 00:00:00,"QUEENSTOWN, NEW ZEALAND",,NZ,2.0,False,,ROBINSON,R44,14.0,ROBINSON R44
